USER_NAME,REVIEW_DATE,RESTAURANT,USER_REVIEWS,USER_RESTAURANT_REVIEWS,USER_HELPFUL_VOTES,REVIEW_STARS
"Iain U",11/12/2015,"Ritz Restaurant",60,33,29,5
"Darius S",11/12/2015,"Ritz Restaurant",2,0,4,5
"Jonathan A",11/5/2015,"Ritz Restaurant",4,3,3,5
Juliesamari,11/5/2015,"Ritz Restaurant",39,23,14,5
Novajane,11/5/2015,"Ritz Restaurant",6,6,3,5
Jeanettehaga,11/5/2015,"Ritz Restaurant",3,0,1,5
"Knut Marius S",11/5/2015,"Ritz Restaurant",8,7,3,5
malcjones,10/29/2015,"Ritz Restaurant",12,4,25,5
"Dai S",10/29/2015,"Ritz Restaurant",39,21,15,5
"Unni S",10/29/2015,"Ritz Restaurant",2,0,3,5
Corniglia123,10/29/2015,"Ritz Restaurant",2,0,2,5
"Jakub P",10/22/2015,"Ritz Restaurant",7,7,15,5
"Tori K",10/22/2015,"Ritz Restaurant",67,51,46,5
j0annaa2015,10/22/2015,"Ritz Restaurant",1,0,8,5
"Margo K",10/15/2015,"Ritz Restaurant",14,13,8,5
conejito0869,10/14/2015,"Ritz Restaurant",3,0,14,5
Taylordiva,10/11/2015,"Ritz Restaurant",12,8,7,5
"Carsten P",10/8/2015,"Ritz Restaurant",3,0,5,5
"Bart K",10/4/2015,"Ritz Restaurant",6,4,21,5
AgataStar,10/4/2015,"Ritz Restaurant",116,80,56,5
"Eirik N",10/4/2015,"Ritz Restaurant",5,4,3,5
Ollstar,9/27/2015,"Ritz Restaurant",5,4,3,5
albanissima,9/24/2015,"Ritz Restaurant",2,0,10,5
2408al,9/24/2015,"Ritz Restaurant",4,4,7,5
VG73,9/23/2015,"Ritz Restaurant",12,6,14,5
"Jakub P",9/19/2015,"Ritz Restaurant",7,7,15,5
"Maurice w",9/13/2015,"Ritz Restaurant",4,4,3,3
"Jane W",8/23/2015,"Ritz Restaurant",3,3,4,5
Heggvin,8/22/2015,"Ritz Restaurant",83,30,30,4
TimKJ,8/20/2015,"Ritz Restaurant",31,20,6,5
Ynte,8/20/2015,"Ritz Restaurant",6,4,1,5
"John Q",8/18/2015,"Ritz Restaurant",1,0,1,5
"Artur M",8/16/2015,"Ritz Restaurant",1,0,1,5
gregroberts2014,8/13/2015,"Ritz Restaurant",3,3,6,5
"Lila O",8/11/2015,"Ritz Restaurant",7,5,2,5
"Aleksandra S",8/11/2015,"Ritz Restaurant",1,0,2,5
Hans-Are,8/6/2015,"Ritz Restaurant",11,8,4,5
"Ron v",8/5/2015,"Ritz Restaurant",68,47,15,4
"Micha M",7/23/2015,"Ritz Restaurant",1,0,2,5
jtowies,7/22/2015,"Ritz Restaurant",56,31,71,5
LadyItameri,7/19/2015,"Ritz Restaurant",4,3,0,4
"Sophie B",7/9/2015,"Ritz Restaurant",1,0,2,5
"Ewa W",7/7/2015,"Ritz Restaurant",10,8,5,5
